,year,TS,HU,TOTAL
0,1950,3,11,14
1,1951,3,8,11
2,1952,2,5,7
3,1953,2,7,9
4,1954,3,6,9
5,1955,2,10,12
6,1956,4,4,8
7,1957,4,3,7
8,1958,4,7,11
9,1959,4,7,11
10,1960,3,4,7
11,1961,3,8,11
12,1962,2,4,6
13,1963,2,7,9
14,1964,3,7,10
15,1965,2,4,6
16,1966,6,7,13
17,1967,3,6,9
18,1968,4,4,8
19,1969,3,11,14
20,1970,4,4,8
21,1971,7,6,13
22,1972,1,3,4
23,1973,3,4,7
24,1974,3,4,7
25,1975,2,6,8
26,1976,2,6,8
27,1977,1,5,6
28,1978,6,5,11
29,1979,3,5,8
30,1980,2,9,11
31,1981,4,7,11
32,1982,3,2,5
33,1983,1,3,4
34,1984,7,5,12
35,1985,4,7,11
36,1986,2,4,6
37,1987,4,3,7
38,1988,7,5,12
39,1989,4,7,11
40,1990,6,8,14
41,1991,4,4,8
42,1992,2,4,6
43,1993,4,4,8
44,1994,4,3,7
45,1995,8,11,19
46,1996,4,9,13
47,1997,4,3,7
48,1998,4,10,14
49,1999,4,8,12
50,2000,6,8,14
51,2001,6,9,15
52,2002,8,4,12
53,2003,9,7,16
54,2004,5,9,14
55,2005,12,15,27
56,2006,6,5,11
57,2007,8,6,14
58,2008,8,8,16
59,2009,6,3,9
60,2010,7,12,19
61,2011,12,7,19
62,2012,9,10,19
63,2013,11,2,13
64,2014,2,6,8
65,2015,7,4,11
66,2016,8,7,15
67,2017,7,10,17
68,2018,7,8,15
69,2019,10,6,16
70,2020,15,14,29
71,2021,13,7,20
72,2022,5,9,14
